plot_num,rep,sp_code,num_germinants,expected_germinants_l,num_germinants_corrected
740,1,HECO,6,60,6
740,1,VUMI,29,60,29
740,1,CEME,13,60,13
740,1,LOWR,10,60,10
740,1,LACA,38,100,38
740,1,SACO,22,60,22
740,1,PLER,11,60,11
740,1,CLPU,0,60,0
740,1,HOMU,21,60,21
740,1,EUPE,13,60,13
740,1,MICA,0,50,0
740,1,AMME,30,60,30
740,1,CHGL,60,90,60
740,1,CLBO,0,60,0
740,1,MEPO,3,40,3
740,1,AGHE,29,60,29
740,1,BRMA,16,60,16
740,2,HECO,7,60,7
740,2,VUMI,28,60,28
740,2,CEME,5,60,5
740,2,LOWR,8,60,8
740,2,LACA,23,100,23
740,2,SACO,18,60,18
740,2,PLER,8,60,8
740,2,CLPU,0,60,0
740,2,HOMU,20,60,20
740,2,EUPE,29,60,29
740,2,MICA,0,50,0
740,2,AMME,23,60,23
740,2,CHGL,28,90,28
740,2,CLBO,0,60,0
740,2,MEPO,2,40,2
740,2,AGHE,35,60,35
740,2,BRMA,21,60,21
740,3,HECO,1,60,1
740,3,VUMI,36,60,36
740,3,CEME,16,60,16
740,3,LOWR,11,60,11
740,3,LACA,39,100,39
740,3,SACO,24,60,24
740,3,PLER,15,60,15
740,3,CLPU,0,60,0
740,3,HOMU,26,60,26
740,3,EUPE,9,60,9
740,3,MICA,0,50,0
740,3,AMME,21,60,21
740,3,CHGL,60,90,60
740,3,CLBO,0,60,0
740,3,MEPO,1,40,1
740,3,AGHE,26,60,26
740,3,BRMA,34,60,34
740,4,HECO,1,60,1
740,4,VUMI,23,60,23
740,4,CEME,18,60,18
740,4,LOWR,4,60,4
740,4,LACA,5,100,5
740,4,SACO,18,60,18
740,4,PLER,19,60,19
740,4,CLPU,0,60,0
740,4,HOMU,18,60,18
740,4,EUPE,9,60,9
740,4,MICA,0,50,0
740,4,AMME,12,60,12
740,4,CHGL,18,90,18
740,4,CLBO,0,60,0
740,4,MEPO,1,40,1
740,4,AGHE,33,60,33
740,4,BRMA,20,60,20
740,5,HECO,5,60,5
740,5,VUMI,32,60,32
740,5,CEME,8,60,8
740,5,LOWR,5,60,5
740,5,LACA,12,100,12
740,5,SACO,4,60,4
740,5,PLER,13,60,13
740,5,CLPU,0,60,0
740,5,HOMU,13,60,13
740,5,EUPE,31,60,31
740,5,MICA,0,50,0
740,5,AMME,20,60,20
740,5,CHGL,47,90,47
740,5,CLBO,0,60,0
740,5,MEPO,4,40,4
740,5,AGHE,21,60,21
740,5,BRMA,10,60,10
741,1,HECO,2,60,2
741,1,VUMI,43,60,43
741,1,CEME,16,60,16
741,1,LOWR,1,60,1
741,1,LACA,0,100,0
741,1,SACO,14,60,14
741,1,PLER,1,60,1
741,1,CLPU,0,60,0
741,1,HOMU,31,60,31
741,1,EUPE,25,60,25
741,1,MICA,2,50,2
741,1,AMME,28,60,28
741,1,CHGL,90,90,90
741,1,CLBO,0,60,0
741,1,MEPO,0,40,0
741,1,AGHE,25,60,25
741,1,BRMA,31,60,31
741,2,HECO,6,60,6
741,2,VUMI,36,60,36
741,2,CEME,14,60,14
741,2,LOWR,2,60,2
741,2,LACA,2,100,2
741,2,SACO,36,60,36
741,2,PLER,7,60,7
741,2,CLPU,0,60,0
741,2,HOMU,16,60,16
741,2,EUPE,5,60,5
741,2,MICA,0,50,0
741,2,AMME,21,60,21
741,2,CHGL,17,90,17
741,2,CLBO,0,60,0
741,2,MEPO,0,40,0
741,2,AGHE,19,60,19
741,2,BRMA,26,60,26
741,3,HECO,10,60,10
741,3,VUMI,42,60,42
741,3,CEME,6,60,6
741,3,LOWR,0,60,0
741,3,LACA,1,100,1
741,3,SACO,0,60,0
741,3,PLER,0,60,0
741,3,CLPU,0,60,0
741,3,HOMU,25,60,25
741,3,EUPE,5,60,5
741,3,MICA,0,50,0
741,3,AMME,28,60,28
741,3,CHGL,66,90,66
741,3,CLBO,0,60,0
741,3,MEPO,0,40,0
741,3,AGHE,31,60,31
741,3,BRMA,30,60,30
741,4,HECO,3,60,3
741,4,VUMI,44,60,44
741,4,CEME,5,60,5
741,4,LOWR,3,60,3
741,4,LACA,0,100,0
741,4,SACO,31,60,31
741,4,PLER,5,60,5
741,4,CLPU,0,60,0
741,4,HOMU,17,60,17
741,4,EUPE,48,60,48
741,4,MICA,0,50,0
741,4,AMME,14,60,14
741,4,CHGL,68,90,68
741,4,CLBO,0,60,0
741,4,MEPO,6,40,6
741,4,AGHE,26,60,26
741,4,BRMA,21,60,21
741,5,HECO,2,60,2
741,5,VUMI,30,60,30
741,5,CEME,18,60,18
741,5,LOWR,0,60,0
741,5,LACA,0,100,0
741,5,SACO,9,60,9
741,5,PLER,29,60,29
741,5,CLPU,0,60,0
741,5,HOMU,21,60,21
741,5,EUPE,8,60,8
741,5,MICA,0,50,0
741,5,AMME,17,60,17
741,5,CHGL,58,90,58
741,5,CLBO,0,60,0
741,5,MEPO,4,40,4
741,5,AGHE,20,60,20
741,5,BRMA,29,60,29
742,1,HECO,4,60,4
742,1,VUMI,38,60,38
742,1,CEME,20,60,20
742,1,LOWR,1,60,1
742,1,LACA,20,100,20
742,1,SACO,26,60,26
742,1,PLER,8,60,8
742,1,CLPU,5,60,5
742,1,HOMU,24,60,24
742,1,EUPE,31,60,31
742,1,MICA,0,50,0
742,1,AMME,17,60,17
742,1,CHGL,95,90,90
742,1,CLBO,1,60,1
742,1,MEPO,6,40,6
742,1,AGHE,42,60,42
742,1,BRMA,9,60,9
742,2,HECO,4,60,4
742,2,VUMI,40,60,40
742,2,CEME,14,60,14
742,2,LOWR,6,60,6
742,2,LACA,14,100,14
742,2,SACO,16,60,16
