year,site,plot,area,USDA_symbol,cover
2017,740,1,625,AVFA,40
2017,740,1,625,BRDI3,0
2017,740,1,625,BRHO2,1
2017,740,1,625,DICA14,0
2017,740,1,625,ERCI6,0
2017,740,1,625,EUSP,1
2017,740,1,625,LASE,8
2017,740,1,625,RACA2,0
2017,740,1,625,FEMI2,0
2017,740,1,625,ACMO2,0
2017,740,1,625,AGHE2,0
2017,740,1,625,FRBI,0
2017,740,1,625,HECO7,20
2017,740,1,625,LACA7,0
2017,740,1,625,STCI,0
2017,740,1,625,LOWR2,0
2017,740,1,625,MIDO,0
2017,740,1,625,STPU2,0
2017,740,1,625,"NAAT",0
2017,740,1,625,PLER3,0
2017,740,1,625,TRAL5,0
2017,740,1,625,URLI5,0
2017,740,1,625,AMME,0
2017,740,1,625,ASGA,0
2017,740,1,625,AVBA,0
2017,740,1,625,CHPO3,0
2017,740,1,625,HOMU,0
2017,740,1,625,MICA,0
2017,740,1,625,POSE,0
2017,740,1,625,FEMY2,0
2017,740,1,625,ANFI3,0
2017,740,1,625,BRMA3,0
2017,740,1,625,EREL6,0
2017,740,1,625,LEPA51,0
2017,740,1,625,MIDO3,0
2017,740,1,625,CAAT25,0
2017,740,1,625,RILE2,0
2017,740,1,625,CACI2,0
2017,740,1,625,CACO35,0
2017,740,1,625,CHPA8,0
2017,740,1,625,HASQ2,0
2017,740,1,625,LODA,0
2017,740,1,625,CHGL,0
2017,740,1,625,GIOC,0
2017,740,1,625,SACO6,0
2017,740,1,625,LEBI4,0
2017,740,1,625,LOST4,0
2017,740,1,625,CRSE11,0
2017,740,1,625,CRYPT,0
2017,740,1,625,ERFA2,0
2017,740,1,625,PHIM,0
2017,740,1,625,MEPO3,0
2017,740,1,625,LOPE,4
2017,740,1,625,BLCR,0
2017,740,1,625,LARA,0
2017,741,1,625,AVFA,25
2017,741,1,625,BRDI3,0
2017,741,1,625,BRHO2,25
2017,741,1,625,DICA14,1
2017,741,1,625,ERCI6,0
2017,741,1,625,EUSP,1
2017,741,1,625,LASE,0
2017,741,1,625,RACA2,0
2017,741,1,625,FEMI2,1
2017,741,1,625,ACMO2,0
2017,741,1,625,AGHE2,0
2017,741,1,625,FRBI,0
2017,741,1,625,HECO7,12
