plot_num,plot_type,replicate,sp_code,num_seeds_produced
740,L,1,AGHE,768
740,L,2,AGHE,1206
740,L,3,AGHE,1425
740,L,4,AGHE,1864
740,L,5,AGHE,1425
740,L,6,AGHE,987
741,L,1,AGHE,1206
741,L,2,AGHE,987
741,L,3,AGHE,548
741,L,4,AGHE,1206
741,L,5,AGHE,NA
742,L,1,AGHE,987
742,L,2,AGHE,439
742,L,3,AGHE,329
742,L,4,AGHE,NA
742,L,5,AGHE,NA
743,L,1,AGHE,439
743,L,2,AGHE,658
743,L,3,AGHE,329
743,L,4,AGHE,548
743,L,5,AGHE,NA
744,L,1,AGHE,768
744,L,2,AGHE,1096
744,L,3,AGHE,658
744,L,4,AGHE,987
744,L,5,AGHE,NA
745,L,1,AGHE,658
745,L,2,AGHE,439
745,L,3,AGHE,219
745,L,4,AGHE,768
745,L,5,AGHE,439
746,L,1,AGHE,548
746,L,2,AGHE,2522
746,L,3,AGHE,2302
746,L,4,AGHE,987
746,L,5,AGHE,439
747,L,1,AGHE,768
747,L,2,AGHE,219
747,L,3,AGHE,877
747,L,4,AGHE,768
747,L,5,AGHE,658
748,L,1,AGHE,877
748,L,2,AGHE,329
748,L,3,AGHE,987
748,L,4,AGHE,658
748,L,5,AGHE,987
749,L,1,AGHE,877
749,L,2,AGHE,110
749,L,3,AGHE,1425
749,L,4,AGHE,768
749,L,5,AGHE,NA
750,L,1,AGHE,548
750,L,2,AGHE,329
750,L,3,AGHE,NA
750,L,4,AGHE,NA
750,L,5,AGHE,NA
751,L,1,AGHE,329
751,L,2,AGHE,439
751,L,3,AGHE,329
751,L,4,AGHE,329
751,L,5,AGHE,439
752,L,1,AGHE,329
752,L,2,AGHE,439
752,L,3,AGHE,329
752,L,4,AGHE,658
752,L,5,AGHE,439
753,L,1,AGHE,439
753,L,2,AGHE,439
753,L,3,AGHE,768
753,L,4,AGHE,439
753,L,5,AGHE,439
754,L,1,AGHE,2302
754,L,2,AGHE,2851
754,L,3,AGHE,2083
754,L,4,AGHE,NA
754,L,5,AGHE,NA
755,L,1,AGHE,1425
755,L,2,AGHE,1645
755,L,3,AGHE,877
755,L,4,AGHE,NA
755,L,5,AGHE,NA
740,L,1,AMME,NA
740,L,2,AMME,NA
740,L,3,AMME,NA
740,L,4,AMME,NA
740,L,5,AMME,NA
741,L,1,AMME,NA
741,L,2,AMME,NA
741,L,3,AMME,NA
741,L,4,AMME,NA
741,L,5,AMME,NA
742,L,1,AMME,648
742,L,2,AMME,48
742,L,3,AMME,NA
742,L,4,AMME,NA
742,L,5,AMME,NA
743,L,1,AMME,NA
743,L,2,AMME,NA
743,L,3,AMME,NA
743,L,4,AMME,NA
743,L,5,AMME,NA
744,L,1,AMME,NA
744,L,2,AMME,NA
744,L,3,AMME,NA
744,L,4,AMME,NA
744,L,5,AMME,NA
745,L,1,AMME,NA
745,L,2,AMME,NA
745,L,3,AMME,NA
745,L,4,AMME,NA
745,L,5,AMME,NA
745,L,6,AMME,NA
746,L,1,AMME,NA
746,L,2,AMME,NA
746,L,3,AMME,NA
746,L,4,AMME,NA
746,L,5,AMME,NA
747,L,1,AMME,NA
747,L,2,AMME,NA
747,L,3,AMME,NA
747,L,4,AMME,NA
747,L,5,AMME,NA
748,L,1,AMME,NA
748,L,2,AMME,NA
748,L,3,AMME,NA
748,L,4,AMME,NA
748,L,5,AMME,NA
749,L,1,AMME,640
749,L,2,AMME,224
749,L,3,AMME,NA
749,L,4,AMME,NA
749,L,5,AMME,NA
749,L,6,AMME,320
750,L,1,AMME,NA
750,L,2,AMME,NA
750,L,3,AMME,NA
750,L,4,AMME,NA
750,L,5,AMME,NA
751,L,1,AMME,NA
751,L,2,AMME,NA
751,L,3,AMME,NA
751,L,4,AMME,NA
751,L,5,AMME,NA
752,L,1,AMME,NA
752,L,2,AMME,NA
752,L,3,AMME,NA
752,L,4,AMME,NA
752,L,5,AMME,NA
753,L,1,AMME,332
753,L,2,AMME,400
753,L,3,AMME,204
753,L,4,AMME,208
753,L,5,AMME,NA
754,L,1,AMME,120
754,L,2,AMME,212
754,L,3,AMME,NA
754,L,4,AMME,NA
754,L,5,AMME,NA
755,L,1,AMME,NA
755,L,2,AMME,NA
755,L,3,AMME,NA
755,L,4,AMME,NA
755,L,5,AMME,NA
740,L,1,BRMA,28
740,L,2,BRMA,80
740,L,3,BRMA,24
740,L,4,BRMA,30
740,L,5,BRMA,NA
741,L,1,BRMA,56
741,L,2,BRMA,34
741,L,3,BRMA,34
741,L,4,BRMA,22
741,L,5,BRMA,NA
742,L,1,BRMA,21
742,L,2,BRMA,17
742,L,3,BRMA,26
742,L,4,BRMA,NA
742,L,5,BRMA,NA
743,L,1,BRMA,17
743,L,2,BRMA,15
743,L,3,BRMA,5
743,L,4,BRMA,42
743,L,5,BRMA,NA
744,L,1,BRMA,43
744,L,2,BRMA,24
744,L,3,BRMA,35
744,L,4,BRMA,96
744,L,5,BRMA,15
744,L,6,BRMA,42
744,L,7,BRMA,35
745,L,1,BRMA,5
745,L,2,BRMA,12
745,L,3,BRMA,NA
745,L,4,BRMA,NA
745,L,5,BRMA,NA
746,L,1,BRMA,40
746,L,2,BRMA,54
746,L,3,BRMA,28
746,L,4,BRMA,34
746,L,5,BRMA,38
747,L,1,BRMA,NA
747,L,2,BRMA,NA
747,L,3,BRMA,NA
747,L,4,BRMA,NA
747,L,5,BRMA,NA
748,L,1,BRMA,NA
748,L,2,BRMA,NA
748,L,3,BRMA,NA
748,L,4,BRMA,NA
748,L,5,BRMA,NA
749,L,1,BRMA,216
749,L,2,BRMA,404
749,L,3,BRMA,72
749,L,4,BRMA,122
749,L,5,BRMA,120
750,L,1,BRMA,8
750,L,2,BRMA,14
750,L,3,BRMA,18
750,L,4,BRMA,10
750,L,5,BRMA,NA
751,L,1,BRMA,13
751,L,2,BRMA,8
751,L,3,BRMA,26
751,L,4,BRMA,10
751,L,5,BRMA,NA
752,L,1,BRMA,8
752,L,2,BRMA,5
752,L,3,BRMA,26
752,L,4,BRMA,12
